,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalSpend,GroupedTenure_13-24,GroupedTenure_25-36,GroupedTenure_37-60,GroupedTenure_61-72
37,0,0,1,0,33,1,1,1.0588876543502213,0.7703774057880695,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.9375367210729562,False,True,False,False
38,0,1,1,1,66,1,1,1.0670438700999345,1.2253508882288195,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,1.3024190377420768,False,False,False,True
39,0,0,1,1,69,1,1,1.0515139104933293,1.2754731700451367,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,1.3376569933845914,False,False,False,True
40,1,0,0,0,5,1,1,0.3719209474232504,-0.7486880109305102,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.4813953851535761,False,False,False,False
41,0,0,1,0,57,1,1,0.9981482868668986,1.1341650783483115,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,1.2089969586355866,False,False,True,False
42,0,1,0,0,8,1,1,0.5122075931590957,-0.34562294013865197,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.11716485675515713,False,False,False,False
43,0,0,0,0,14,1,0,-0.14388078066232673,-0.22758372473972274,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,-0.22224230370133313,True,False,False,False
44,1,0,0,0,25,1,1,0.8925026435941836,0.5330966758394144,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.6982737085881168,False,True,False,False
45,0,0,1,1,52,1,0,-1.7545222745750582,-0.014434719275358863,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,-0.5493264053428348,False,False,True,False
46,0,1,0,0,7,1,0,0.5278546996033413,-0.4653740494500238,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.2079691432131054,False,False,False,False
47,1,0,0,0,13,1,1,0.6008312552337531,-0.03978061979839868,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.15355241733814534,True,False,False,False
48,0,1,0,0,15,1,0,0.8028709195132385,0.20642862507053664,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.4108934464663506,True,False,False,False
49,1,0,0,0,22,1,1,-0.02640254687249425,0.09164875210841612,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0.06803489555446446,True,False,False,False
50,0,0,0,0,19,1,0,-1.7296051392648102,-0.6685583567638148,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-1.063300810842457,True,False,False,False
51,1,0,1,1,23,0,1,-1.0308244751983295,-0.27268596150729885,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.5300440872066697,True,False,False,False
52,0,0,1,0,72,1,1,1.2038628639282043,1.3364035469226057,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,1.4321367188569076,False,False,False,True
53,1,1,1,0,72,1,0,0.9570108547635177,1.228901830092379,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,1.272040715387117,False,False,False,True
54,0,0,1,1,59,1,1,0.9272660677707352,1.0889533962576115,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,1.151586146432719,False,False,True,False
55,0,0,1,1,70,1,0,0.503202189670676,1.072163915244759,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,1.0099938666558426,False,False,False,True
56,1,0,1,1,70,1,1,1.004066289345682,1.234975855425954,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,1.2910821895578808,False,False,False,True
57,1,0,1,1,9,1,0,1.0374990578896999,-0.041774639140281684,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.2839004653114389,False,False,False,False
58,0,0,0,0,3,1,0,-1.3800241323363154,-1.5995723804146245,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-1.6999288122997729,False,False,False,False
59,1,1,0,0,17,1,1,1.0158416755162223,0.34013051415756346,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.5817529881423796,True,False,False,False
60,0,0,1,1,28,1,1,0.38768206130162547,0.4230081993029049,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.45784072847567076,False,True,False,False
61,0,0,0,0,10,1,0,-0.05424991494258162,-0.370869574084381,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,-0.30923683357241954,False,False,False,False
62,1,0,1,1,11,1,0,-1.645127298101029,-0.8737439469881265,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-1.2007323993014192,False,False,False,False
63,1,1,1,0,72,1,1,1.0300330310310049,1.284389530322412,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,1.3382773962054961,False,False,False,True
64,1,0,0,0,8,1,1,0.3804256077548621,-0.4069027235718242,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.2059742757718764,False,False,False,False
65,1,1,0,0,69,1,0,-1.696932972681631,0.1745202487542258,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.3806456983252854,False,False,False,True
66,0,0,1,1,39,1,1,-1.733733057816103,-0.1237450040814905,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.629943876310417,False,False,True,False
67,1,0,1,1,67,0,0,-0.16204813326014325,0.7456496650005026,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,0.5478559071922421,False,False,False,True
68,1,0,0,0,39,1,0,-1.7296051392648102,-0.17372529297864067,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,-0.6684991134829565,False,False,True,False
69,1,0,1,1,54,1,1,0.26903798462257017,0.7994998767324376,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0.7218175206563124,False,False,True,False
70,0,0,0,0,1,1,1,0.48390802179581555,-1.693854027101691,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.2054178802490483,False,False,False,False
71,0,0,1,1,72,0,1,0.11637671671224893,0.9149482250382248,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0.7674358549294195,False,False,False,True
72,1,0,0,0,10,1,0,0.960476728573612,-0.016896245069256213,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.280487729369027,False,False,False,False
73,1,0,1,1,13,1,1,0.9272660677707352,0.07508214410941516,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,0.34378086440427313,True,False,False,False
74,0,0,0,0,35,1,1,0.9725526900934309,0.7931792513114985,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,0.9296472220494739,False,True,False,False
75,1,0,1,1,12,0,0,-0.7686980066504951,-0.5639631431392312,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.6817194332389026,False,False,False,False
76,1,0,1,0,31,1,1,0.8160988750229745,0.6723194035066595,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.7861145273680786,False,True,False,False
77,0,0,1,1,53,1,1,1.1207168792807158,1.1287515725371189,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,1.241664828580687,False,False,True,False
78,1,0,0,0,1,1,1,-1.7629086909840697,-2.5369529688197408,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-2.5848446201342115,False,False,False,False
79,1,0,0,0,30,1,0,-1.7461764705111655,-0.32590547662263913,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,-0.7950631631073168,False,True,False,False
80,0,0,0,0,46,1,1,0.49074242006332297,0.7961560011447344,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.7863551610617732,False,False,True,False
81,0,0,1,0,19,1,0,0.7990727798575363,0.3432945434913854,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.518815473089457,True,False,False,False
82,0,0,1,0,23,1,0,-0.05424991494258162,0.10690291959726266,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.07171925590081293,True,False,False,False
83,0,1,0,0,15,1,0,-0.03101263924581062,-0.20213805900740073,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.16758671952799462,True,False,False,False
84,1,0,0,0,48,1,0,-1.7091125652198482,-0.033506484247877465,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.5502771366293421,False,False,True,False
85,1,0,0,1,25,1,1,0.9139783753365317,0.5563851726441352,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.7233138278122873,False,True,False,False
86,1,0,0,0,52,1,1,1.0686704914299658,1.0708665530197328,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,1.1798567423290853,False,False,True,False
87,1,0,0,0,12,1,0,0.6408877351753185,-0.12087985524573665,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.10101309118835548,False,False,False,False
88,0,0,0,0,48,1,0,-1.3833934494822713,0.0975253709660913,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,-0.34411131942734213,False,False,True,False
89,0,0,0,0,38,1,0,-1.7172803775282268,-0.21558438351491682,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.6980101622083399,False,False,True,False
90,0,0,0,0,18,0,1,-0.782921513832912,-0.34450570428254507,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,-0.5109786545888229,True,False,False,False
91,0,0,1,0,45,1,1,-0.18376850532307168,0.4934420111327964,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.34030215330156033,False,False,True,False
92,1,0,0,0,12,1,1,0.7971705664511419,-0.008495447744775661,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.23786206995006512,False,False,False,False
93,0,1,0,0,66,1,1,1.0258712198531472,1.184732021780649,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,1.2576419083516404,False,False,False,True
94,0,0,0,0,72,1,0,-1.700983280471229,0.2677990888299272,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.30757897228113357,False,False,False,True
95,0,0,0,0,70,0,1,-0.3850758468054217,0.7000487906463234,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0.4434771585139362,False,False,False,True
96,0,0,1,0,27,1,0,0.8085524801685076,0.5496583299002622,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.6861093921536329,False,True,False,False
97,1,0,0,0,1,1,0,-1.7213788459787627,-2.5213692462247774,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-2.5588322751063264,False,False,False,False
98,1,1,1,0,13,1,1,0.9023789180222794,0.11327199895217936,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.3667059365065313,True,False,False,False
99,0,0,1,1,65,1,1,0.8142153719161233,1.131230702066741,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,1.1511158910603407,False,False,False,True
100,0,0,1,1,14,1,0,0.38284782202742346,0.006967823979650357,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.12480613127702017,True,False,False,False
101,0,0,1,1,17,1,1,0.717314912347533,0.21840331096814902,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.3945770328517995,True,False,False,False
102,0,0,0,0,31,1,0,-1.645127298101029,-0.2684189088231958,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,-0.7175310974498673,False,True,False,False
103,1,0,1,1,24,1,0,-1.4071649321735649,-0.3426479230742506,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.7024655808317758,True,False,False,False
104,0,0,0,0,3,1,0,-1.7050431296307476,-1.7715778730444247,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,-1.9400870109846673,False,False,False,False
105,1,0,0,0,17,1,1,0.5322993317798685,0.1538241066945703,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.2871343337707746,True,False,False,False
106,1,0,0,0,66,1,0,0.3473880752027938,0.9421973020263387,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0.8592546436559819,False,False,False,True
107,1,0,1,0,45,1,0,-0.08414084976643209,0.5148201166950763,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0.3876838169216957,False,False,True,False
108,1,0,1,0,35,1,1,0.8338902301213726,0.7366632622147848,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.8427504447911132,False,True,False,False
109,1,0,0,1,40,0,0,-0.5578585961401785,0.26662251332702325,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,0.04528044875230212,False,False,True,False
110,0,0,0,0,10,1,1,0.7022982169504575,-0.14116888441775627,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.10340846829576864,False,False,False,False
111,0,0,1,0,52,1,1,0.23377192677968436,0.7705669907309021,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,0.6880672312537454,False,False,True,False
112,0,0,0,0,13,1,0,-1.7671172527122072,-0.9648142266712737,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,-1.3117937368479147,True,False,False,False
113,0,1,0,0,43,1,1,0.8104421790105021,0.8470228567487396,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.923582298844434,False,False,True,False
114,0,0,0,0,41,1,0,-1.684838851672245,-0.18654621222814494,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,-0.6646816721490006,False,False,True,False
115,0,1,0,0,52,0,1,-0.1753820889140601,0.586694896562918,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,0.4171562958871506,False,False,True,False
116,0,0,1,0,71,1,0,0.8652760872733882,1.1881498381413085,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,1.2118796313074558,False,False,False,True
117,1,0,0,0,61,1,1,1.0920855857270355,1.167346095813193,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1.2637708617163421,False,False,False,True
118,0,0,0,0,26,0,1,-0.39075428743271823,0.08661947981955258,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,-0.04706042878498324,False,True,False,False
119,1,0,1,1,72,1,0,0.3387183938232191,0.9989180678732498,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0.9018086034030608,False,False,False,True
120,0,0,0,0,42,1,1,0.5717934764804533,0.763476737917905,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0.7848595687329764,False,False,True,False
121,0,0,1,1,57,1,0,0.2573626320725102,0.8210953073182635,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7354785794584963,False,False,True,False
122,1,0,1,1,9,1,0,-1.7545222745750582,-1.0690497561574386,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-1.3912205672125315,False,False,False,False
123,0,0,0,0,9,1,0,0.40210394605792726,-0.2786115151233729,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.09706586344254761,False,False,False,False
124,1,0,1,0,33,1,1,-0.3869665822350305,0.22328202907450673,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.06301752830653944,False,True,False,False
125,1,0,0,0,1,1,0,-1.7671172527122072,-2.538532195963177,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-2.587482256305251,False,False,False,False
126,0,0,0,0,7,1,1,0.5836828035859639,-0.4410388398906076,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.17165272047863708,False,False,False,False
127,1,0,0,0,1,1,1,0.4152188186756476,-1.7196290687989813,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-1.2470274961029395,False,False,False,False
128,1,0,1,1,65,1,0,-1.7296051392648102,0.14343473966768855,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.4156696963970238,False,False,False,True
129,1,0,0,0,10,1,1,0.7292347650840132,-0.13957943297179026,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.1128199002505433,False,False,False,False
130,1,0,1,0,70,1,1,0.8978967173911626,1.1976942609329093,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,1.2293342162747263,False,False,False,True
131,0,0,0,0,29,1,1,0.9613421090443319,0.6730802256027283,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.8305854487572366,False,True,False,False
132,1,0,1,1,21,1,0,1.0588876543502213,0.4746664428584389,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.7019424414992718,True,False,False,False
133,1,0,1,0,1,1,1,0.8198597170418349,-1.567790998854112,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,-1.002206191784761,False,False,False,False
134,1,0,0,0,5,1,0,-1.700983280471229,-1.4457863217472156,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-1.6764231500373394,False,False,False,False
135,1,0,1,0,56,1,0,0.8000230997995806,1.0117860409696966,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,1.0516830872233744,False,False,True,False
136,1,0,0,1,35,1,1,0.7113239265767034,0.6941984375702116,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0.7718768590762128,False,True,False,False
137,1,0,1,1,10,1,0,-1.684838851672245,-0.9368520960205773,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,-1.2636190401861145,False,False,False,False
138,0,0,0,0,31,0,1,-0.19727223882818526,0.24820209467450371,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,0.14076941093752796,False,True,False,False
139,1,1,1,0,37,1,1,0.722291540614357,0.7235059642386921,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.7985411348359932,False,False,True,False
140,1,1,1,0,57,1,1,0.9023789180222794,1.0708903812861659,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,1.129683029594417,False,False,True,False
